stk_pur_id,stk_type,stk_pattern,stk_weight,stk_size,stk_length,stk_labor_cost,stk_gold_cost,stk_gold_type,stk_returned,stk_remark,stk_tag
B0924SLG,NECKLACE,SINGLE BUCKLE,4.44,,45,15,,,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,5.62,,45,15,,,,,
0225SLG,NECKLACE,SINGLE BUCKLE,6.3,,45,15,,,,,
0824SLG,NECKLACE,Pintar,2.36,,41,12.1,,,,,
0824SLG,NECKLACE,Pintar,2.39,,41,12.1,,,,,
0824SLG,NECKLACE,Pintar,2.4,,41,12.1,,,,,
0824SLG,NECKLACE,Pintar,2.37,,41,12.1,,,,,
0824SLG,NECKLACE,Pintar,3.06,,41,12.1,,,,,
0824SLG,NECKLACE,Pintar,3.05,,41,12.1,,,,,
,NECKLACE,Pintar,4.26,,40,,,,Y,,
,NECKLACE,Pintar,4.27,,41,,,,Y,,
,NECKLACE,Pintar,5.41,,41,13.2,,,Y,,
,NECKLACE,Pintar,13.96,,40,14,,,Y,,
0423TC,NECKLACE,Pintar,6.52,,41,14,,,,,
0923SLG,NECKLACE,Pintar,1.71,,45,14.4,,,,,
0923SLG,NECKLACE,Pintar,1.7,,45,14.4,,,,,
0923SLG,NECKLACE,Pintar,1.72,,45,14.4,,,,,
,NECKLACE,Pintar,2.31,,45,14.4,,,Y,,
,NECKLACE,Pintar,2.35,,45,,,,Y,,
B0724SLG,NECKLACE,Pintar,2.81,,45,14.4,,,,,
B0724SLG,NECKLACE,Pintar,2.78,,45,14.4,,,,,
B0724SLG,NECKLACE,Pintar,2.76,,45,14.4,,,,,
,NECKLACE,Pintar,3.26,,45,13.2,,,Y,,
B0324YM,NECKLACE,Pintar,3.32,,45,13.2,,,,,
1124SLG,NECKLACE,Pintar,3.52,,45,13.2,,,,,
1124SLG,NECKLACE,Pintar,3.48,,45,13.2,,,,,
,NECKLACE,Pintar,4.31,,45,16,,,Y,,
B0823SLG,NECKLACE,Pintar,4.24,,45,15.6,,,,,
1224YM,NECKLACE,Pintar,5.31,,45,14.4,,,,,
1224YM,NECKLACE,Pintar,5.42,,45,14.4,,,,,
0623XW,NECKLACE,Pintar,1.64,,52,14,,,,,
B0225SLG,NECKLACE,Pintar,3.38,,52,16,,,,,
B0225SLG,NECKLACE,Pintar,3.57,,52,16,,,,,
B0225SLG,NECKLACE,Pintar,3.53,,52,16,,,,,
B0225SLG,NECKLACE,Pintar,3.45,,52,16,,,,,
B0823SLG,NECKLACE,Pintar,4.5,,52,18.2,,,,,
B0324YM,NECKLACE,Pintar,4.6,,52,15.4,,,,,
B0324YM,NECKLACE,Pintar,4.57,,52,15.4,,,,,
B0324YM,NECKLACE,Pintar,4.68,,52,15.4,,,,,
,NECKLACE,Pintar,5.4,,52,18,,,Y,,
,NECKLACE,Pintar,5.46,,52,16,,,Y,,
0923SLG,NECKLACE,Pintar,5.59,,52,19.4,,,,,
B0823SLG,NECKLACE,Pintar,8.3,,52,18.2,,,,,
B0823SLG,NECKLACE,Pintar,8.25,,52,18.2,,,,,
B0823SLG,NECKLACE,Pintar,9.56,,52,18.2,,,,,
B0823SLG,NECKLACE,Pintar,9.62,,52,18.2,,,,,
B0422SLG,NECKLACE,Pintar,11.56,,52,25.2,,,,,
B0324YM,NECKLACE,Pintar,5.55,,60,17.6,,,,,
0921SLG,NECKLACE,Pintar,6.18,,60,17.6,,,,,
0921SLG,NECKLACE,Pintar,6.19,,60,17.6,,,,,
0921SLG,NECKLACE,Pintar,6.26,,60,17.6,,,,,
0623XW,NECKLACE,Pintar,6.56,,60,16,,,,,
0423TC,NECKLACE,Pintar,8.49,,60,20,,,,,
0422SLG,NECKLACE,Pintar,9.58,,60,19.2,,,,,
0623XW,NECKLACE,Pintar,10.09,,60,16,,,,,
B0422SLG,NECKLACE,Pintar,13.01,,60,28.8,,,,,
B0422SLG,NECKLACE,Pintar,15.97,,60,28.8,,,,,
B0422SLG,NECKLACE,Pintar,22.09,,66,36,,,,,
,NECKLACE,Pintar,21.34,,60,30,,,Y,,
B0324YM,NECKLACE,Pintar,4.4,,60,17.6,,,,,
,NECKLACE,Pintar,4.72,,52,19,,,Y,,
B0225SLG,NECKLACE,Pintar,3.43,,52,16,,,,,
0923SLG,NECKLACE,Pintar,5.48,,45,14.4,,,,,
,NECKLACE,Pintar,4.34,,45,16,,,Y,,
,NECKLACE,Pintar,3.2,,45,13.2,,,Y,,
B0724SLG,NECKLACE,Pintar,2.73,,45,14.4,,,,,
,NECKLACE,Pintar,2.19,,45,14.4,,,Y,,
,NECKLACE,Pintar,1.69,,45,13.2,,,Y,,
0824SLG,NECKLACE,Pintar,3.07,,41,13.2,,,,,
0322SLG,NECKLACE,Pintar,2.26,,41,13.2,,,,,
,NECKLACE,Pintar,1.66,,41,12.2,,,Y,,
,NECKLACE,Pintar,3.61,,45,13.2,,,Y,,
,,,,,,,,,,,
,,,,,,,,,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",7.25,,45,42,,,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",8.75,,45,42,,,,,
0224SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",11.56,,45,54,,,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",8.31,,52,49,,,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",10,,52,49,,,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",9.46,,60,56,,,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",11.38,,60,56,,,,,
B0124SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",7.07,,45,42,,,,,
1024YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",5.87,,45,30,,,,,
0422SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",15.22,,60,61,,,,,
0325RB,NECKLACE,"SIPUT,DINASOUR EGG",10.57,,60,111,,,,,
0325RB,NECKLACE,"SIPUT,DINASOUR EGG",8.79,,52,93,,,,,
0522JJT,NECKLACE,"SIPUT,DINASOUR EGG",19.1,,60,238,,,,,
0323XW,NECKLACE,"SIPUT,DINASOUR EGG",25.13,,58,232,,,,,
0325SLG,NECKLACE,HOLLOW SAUH SELANG,31.62,,66,306,,,,,
0325SLG,NECKLACE,Rope,11.76,,52,62,,,,,
0325SLG,NECKLACE,Rope,11.74,,52,62,,,,,
0325SLG,NECKLACE,Machine,15.51,,66,90,,,,,
0325SLG,NECKLACE,Machine,11.5,,60,64,,,,,
0325SLG,NECKLACE,Machine,6.3,,52,48,,,,,
0325SLG,NECKLACE,Machine,8.84,,45,48,,,,,
0325SLG,NECKLACE,Machine,8.85,,45,48,,,,,
0325SLG,NECKLACE,Machine,5.45,,45,41,,,,,
0325SLG,NECKLACE,Machine,4.99,,45,41,,,,,
0325SLG,NECKLACE,Machine,4.14,,45,38.4,,,,,
0325SLG,NECKLACE,Machine,4.11,,45,38.4,,,,,
0325SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",4.05,,45,38.5,,,,,
0325SLG,ANKLET,MACHINE,4.34,,26.5,31,,,,,
0325SLG,ANKLET,SAUH,5.19,,27.5,51,,,,"HANG W/5 3D LOVE, BELL&LOVE(A)",
0325SLG,BRACELET,SAUH,5.08,,17,56,,,,HANG W/5 CLOVER LEAF,
0325SLG,BRACELET,CANDY SAUH,16.64,,18,185,,,,,
0325SLG,BRACELET,SAUH,5.24,,17.5,60,,,,EXT W/ LOVE,
0325SLG,BRACELET,SAUH,4.39,,17.5,60,,,,EXT W/ LOVE,
0325SLG,BRACELET,PANDORA,3.67,,18,32,,,,FLOWER (A),
0325SLG,BRACELET,PANDORA,3.55,,17,32,,,,FLOWER (A),
0325SLG,BRACELET,PANDORA,3.53,,17,32,,,,FLOWER (A),
0325SLG,BRACELET,3 TINGKAT HOLLOW BUCKLE,10.85,,16.5,110,,,,LOVE (A),
0325SLG,BRACELET,HOLOW SINGLE BUCKLE,11.76,,15.5,84,,,,,SAFETY CHAIN
0325SLG,BRACELET,HOLOW SINGLE BUCKLE,11.15,,18,84,,,,,SAFETY CHAIN
0325SLG,BRACELET,HOLOW SINGLE BUCKLE,14.13,,17,96,,,,KETAP,SAFFETY CHAIN
0325SLG,PENDANTS,FLOWER,0.96,,,25,,,,CRUSHED ICE,
0325SLG,PENDANTS,FLOWER,1.05,,,25,,,,CRUSHED ICE,
0325SLG,PENDANTS,FLOWER,1.09,,,25,,,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,1.56,,,32,,,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,1.6,,,32,,,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,2.67,,,50,,,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,2.84,,,50,,,,CRUSHED ICE,
0325SLG,PENDANTS,LOVE,2.56,,,50,,,,CRUSHED ICE,
0325SLG,PENDANTS,LOVE,2.59,,,50,,,,CRUSHED ICE,
0325SLG,PENDANTS, CLOVER LEAF,1.18,,,23,,,,,
0325SLG,PENDANTS, CLOVER LEAF,1.92,,,34,,,,,
0325SLG,PENDANTS, CLOVER LEAF,1.88,,,34,,,,,
0325SLG,PENDANTS, CLOVER LEAF,1.17,,,23,,,,,
0325SLG,PENDANTS, CLOVER LEAF,1.19,,,23,,,,,
0325SLG,PENDANTS, CLOVER LEAF,1.21,,,23,,,,,
0325SLG,EARING,FLOWER,2.38,,,50,,,,CRUSHED ICE,
0325SLG,EARING,FLOWER,2.39,,,50,,,,CRUSHED ICE,
0325SLG,EARING,FLOWER,2.78,,,50,,,,CRUSHED ICE,
0325SLG,RING,Hollow(*),0.89,6,,16,,,,,
0325SLG,RING,Hollow(*),1.02,7,,16,,,,,
0325SLG,RING,Hollow(*),1.01,8,,16,,,,,
0325SLG,RING,Hollow(*),1.14,15,,16,,,,,
0325SLG,Bite,STAR,0.44,,,13,,,,TITIK PASIR,
0325SLG,Bite,STAR,0.43,,,13,,,,TITIK PASIR,
0325SLG,Bite,STAR,0.45,,,13,,,,TITIK PASIR,
0325SLG,Bite,*leaf,0.39,,,13,,,,TITIK PASIR,
0325SLG,Bite,*leaf,0.36,,,13,,,,TITIK PASIR,
0325SLG,Bite,leaf,0.4,,,13,,,,TITIK PASIR,
0325SLG,PENDANTS,ABACUS,1,,,35,,,,,
0325SLG,BRACELET,PAPER CLIP (H),4.4,,17.5,60,,,,,
0325SLG,BRACELET,PAPER CLIP (H),4.36,,17.5,60,,,,,
0325SLG,BRACELET,PAPER CLIP (H),4.35,,17.5,60,,,,,
0325SLG,BRACELET,SOLID PAPER CLIP,17.76,,20,150,,,,,
0325SLG,BRACELET,SOLID PAPER CLIP,17.66,,20,150,,,,,
0325SLG,BRACELET,3 TINGKAT HOLLOW BUCKLE,13.18,,17.5,120,,,,,
0325SLG,BRACELET,3 TINGKAT HOLLOW BUCKLE,9.36,,17.5,100,,,,,
0325SLG,RING,3 ROW(H),1.73,18,,25,,,,,
0325SLG,RING,3 ROW(H),1.7,16,,25,,,,,
0325SLG,RING,3 ROW(H),1.71,15,,25,,,,,
0325SLG,RING,3 ROW(H),1.58,14,,25,,,,,
0325SLG,RING,3 ROW(H),1.55,12,,25,,,,,
