stk_pur_id,stk_type,stk_pattern,stk_weight,stk_size,stk_length,stk_labor_cost,stk_gold_cost,stk_gold_type,stk_returned,stk_remark,stk_tag
0824SLG,NECKLACE,Pintar,3.05,,41,12.1,,916,,,
,NECKLACE,Pintar,4.26,,40,,,916,Y,,
,NECKLACE,Pintar,4.27,,41,,,916,Y,,
,NECKLACE,Pintar,5.41,,41,13.2,,916,Y,,
,NECKLACE,Pintar,13.96,,40,14,,916,Y,,
0423TC,NECKLACE,Pintar,6.52,,41,14,,916,,,
0923SLG,NECKLACE,Pintar,1.71,,45,14.4,,916,,,
0923SLG,NECKLACE,Pintar,1.7,,45,14.4,,916,,,
0923SLG,NECKLACE,Pintar,1.72,,45,14.4,,916,,,
,NECKLACE,Pintar,2.31,,45,14.4,,916,Y,,
,NECKLACE,Pintar,2.35,,45,,,916,Y,,
B0724SLG,NECKLACE,Pintar,2.81,,45,14.4,,916,,,
B0724SLG,NECKLACE,Pintar,2.78,,45,14.4,,916,,,
B0724SLG,NECKLACE,Pintar,2.76,,45,14.4,,916,,,
,NECKLACE,Pintar,3.26,,45,13.2,,916,Y,,
B0324YM,NECKLACE,Pintar,3.32,,45,13.2,,916,,,
1124SLG,NECKLACE,Pintar,3.52,,45,13.2,,916,,,
1124SLG,NECKLACE,Pintar,3.48,,45,13.2,,916,,,
,NECKLACE,Pintar,4.31,,45,16,,916,Y,,
B0823SLG,NECKLACE,Pintar,4.24,,45,15.6,,916,,,
1224YM,NECKLACE,Pintar,5.31,,45,14.4,,916,,,
1224YM,NECKLACE,Pintar,5.42,,45,14.4,,916,,,
0623XW,NECKLACE,Pintar,1.64,,52,14,,916,,,
B0225SLG,NECKLACE,Pintar,3.38,,52,16,,916,,,
B0225SLG,NECKLACE,Pintar,3.57,,52,16,,916,,,
B0225SLG,NECKLACE,Pintar,3.53,,52,16,,916,,,
B0225SLG,NECKLACE,Pintar,3.45,,52,16,,916,,,
B0823SLG,NECKLACE,Pintar,4.5,,52,18.2,,916,,,
B0324YM,NECKLACE,Pintar,4.6,,52,15.4,,916,,,
B0324YM,NECKLACE,Pintar,4.57,,52,15.4,,916,,,
B0324YM,NECKLACE,Pintar,4.68,,52,15.4,,916,,,
,NECKLACE,Pintar,5.4,,52,18,,916,Y,,
,NECKLACE,Pintar,5.46,,52,16,,916,Y,,
0923SLG,NECKLACE,Pintar,5.59,,52,19.4,,916,,,
B0823SLG,NECKLACE,Pintar,8.3,,52,18.2,,916,,,
B0823SLG,NECKLACE,Pintar,8.25,,52,18.2,,916,,,
B0823SLG,NECKLACE,Pintar,9.56,,52,18.2,,916,,,
B0823SLG,NECKLACE,Pintar,9.62,,52,18.2,,916,,,
B0422SLG,NECKLACE,Pintar,11.56,,52,25.2,,916,,,
B0324YM,NECKLACE,Pintar,5.55,,60,17.6,,916,,,
0921SLG,NECKLACE,Pintar,6.18,,60,17.6,,916,,,
0921SLG,NECKLACE,Pintar,6.19,,60,17.6,,916,,,
0921SLG,NECKLACE,Pintar,6.26,,60,17.6,,916,,,
0623XW,NECKLACE,Pintar,6.56,,60,16,,916,,,
0423TC,NECKLACE,Pintar,8.49,,60,20,,916,,,
0422SLG,NECKLACE,Pintar,9.58,,60,19.2,,916,,,
0623XW,NECKLACE,Pintar,10.09,,60,16,,916,,,
B0422SLG,NECKLACE,Pintar,13.01,,60,28.8,,916,,,
B0422SLG,NECKLACE,Pintar,15.97,,60,28.8,,916,,,
B0422SLG,NECKLACE,Pintar,22.09,,66,36,,916,,,
,NECKLACE,Pintar,21.34,,60,30,,916,Y,,
B0324YM,NECKLACE,Pintar,4.4,,60,17.6,,916,,,
,NECKLACE,Pintar,4.72,,52,19,,916,Y,,
B0225SLG,NECKLACE,Pintar,3.43,,52,16,,916,,,
0923SLG,NECKLACE,Pintar,5.48,,45,14.4,,916,,,
,NECKLACE,Pintar,4.34,,45,16,,916,Y,,
,NECKLACE,Pintar,3.2,,45,13.2,,916,Y,,
B0724SLG,NECKLACE,Pintar,2.73,,45,14.4,,916,,,
,NECKLACE,Pintar,2.19,,45,14.4,,916,Y,,
,NECKLACE,Pintar,1.69,,45,13.2,,916,Y,,
0824SLG,NECKLACE,Pintar,3.07,,41,13.2,,916,,,
0322SLG,NECKLACE,Pintar,2.26,,41,13.2,,916,,,
,NECKLACE,Pintar,1.66,,41,12.2,,916,Y,,
,NECKLACE,Pintar,3.61,,45,13.2,,916,Y,,
,,,,,,,,916,,,
,,,,,,,,916,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",7.25,,45,42,,916,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",8.75,,45,42,,916,,,
0224SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",11.56,,45,54,,916,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",8.31,,52,49,,916,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",10,,52,49,,916,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",9.46,,60,56,,916,,,
0325YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",11.38,,60,56,,916,,,
B0124SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",7.07,,45,42,,916,,,
1024YM,NECKLACE,"MACHINE DOUBLE LEPER,CC",5.87,,45,30,,916,,,
0422SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",15.22,,60,61,,916,,,
0325RB,NECKLACE,"SIPUT,DINASOUR EGG",10.57,,60,111,,916,,,
0325RB,NECKLACE,"SIPUT,DINASOUR EGG",8.79,,52,93,,916,,,
0522JJT,NECKLACE,"SIPUT,DINASOUR EGG",19.1,,60,238,,916,,,
0323XW,NECKLACE,"SIPUT,DINASOUR EGG",25.13,,58,232,,916,,,
0325SLG,NECKLACE,HOLLOW SAUH SELANG,31.62,,66,306,,916,,,
0325SLG,NECKLACE,Rope,11.76,,52,62,,916,,,
0325SLG,NECKLACE,Rope,11.74,,52,62,,916,,,
0325SLG,NECKLACE,Machine,15.51,,66,90,,916,,,
0325SLG,NECKLACE,Machine,11.5,,60,64,,916,,,
0325SLG,NECKLACE,Machine,6.3,,52,48,,916,,,
0325SLG,NECKLACE,Machine,8.85,,45,48,,916,,,
0325SLG,NECKLACE,Machine,5.45,,45,41,,916,,,
0325SLG,NECKLACE,Machine,4.99,,45,41,,916,,,
0325SLG,NECKLACE,Machine,4.14,,45,38.4,,916,,,
0325SLG,NECKLACE,Machine,4.11,,45,38.4,,916,,,
0325SLG,NECKLACE,"MACHINE DOUBLE LEPER,CC",4.05,,45,38.5,,916,,,
0325SLG,ANKLET,MACHINE,4.34,,26.5,31,,916,,,
0325SLG,ANKLET,SAUH,5.19,,27.5,51,,916,,"HANG W/5 3D LOVE, BELL&LOVE(A)",
0325SLG,BRACELET,SAUH,5.08,,17,56,,916,,HANG W/5 CLOVER LEAF,
0325SLG,BRACELET,CANDY SAUH,16.64,,18,185,,916,,,
0325SLG,BRACELET,SAUH,5.24,,17.5,60,,916,,EXT W/ LOVE,
0325SLG,BRACELET,SAUH,4.39,,17.5,60,,916,,EXT W/ LOVE,
0325SLG,BRACELET,PANDORA,3.67,,18,32,,916,,FLOWER (A),
0325SLG,BRACELET,PANDORA,3.55,,17,32,,916,,FLOWER (A),
0325SLG,BRACELET,PANDORA,3.53,,17,32,,916,,FLOWER (A),
0325SLG,BRACELET,3 TINGKAT HOLLOW BUCKLE,10.85,,16.5,110,,916,,LOVE (A),
0325SLG,BRACELET,HOLOW SINGLE BUCKLE,11.76,,15.5,84,,916,,,SAFETY CHAIN
0325SLG,BRACELET,HOLOW SINGLE BUCKLE,11.15,,18,84,,916,,,SAFETY CHAIN
0325SLG,BRACELET,HOLOW SINGLE BUCKLE,14.13,,17,96,,916,,KETAP,SAFFETY CHAIN
0325SLG,PENDANTS,FLOWER,0.96,,,25,,916,,CRUSHED ICE,
0325SLG,PENDANTS,FLOWER,1.05,,,25,,916,,CRUSHED ICE,
0325SLG,PENDANTS,FLOWER,1.09,,,25,,916,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,1.56,,,32,,916,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,1.6,,,32,,916,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,2.67,,,50,,916,,CRUSHED ICE,
0325SLG,PENDANTS,CRICLE,2.84,,,50,,916,,CRUSHED ICE,
0325SLG,PENDANTS,LOVE,2.56,,,50,,916,,CRUSHED ICE,
0325SLG,PENDANTS,LOVE,2.59,,,50,,916,,CRUSHED ICE,
0325SLG,PENDANTS, CLOVER LEAF,1.18,,,23,,916,,,
0325SLG,PENDANTS, CLOVER LEAF,1.92,,,34,,916,,,
0325SLG,PENDANTS, CLOVER LEAF,1.88,,,34,,916,,,
0325SLG,PENDANTS, CLOVER LEAF,1.17,,,23,,916,,,
0325SLG,PENDANTS, CLOVER LEAF,1.19,,,23,,916,,,
0325SLG,PENDANTS, CLOVER LEAF,1.21,,,23,,916,,,
0325SLG,EARING,FLOWER,2.38,,,50,,916,,CRUSHED ICE,
0325SLG,EARING,FLOWER,2.39,,,50,,916,,CRUSHED ICE,
0325SLG,EARING,FLOWER,2.78,,,50,,916,,CRUSHED ICE,
0325SLG,RING,Hollow(*),0.89,6,,16,,916,,,
0325SLG,RING,Hollow(*),1.02,7,,16,,916,,,
0325SLG,RING,Hollow(*),1.01,8,,16,,916,,,
0325SLG,RING,Hollow(*),1.14,15,,16,,916,,,
0325SLG,PENDANTS,Bite,0.44,,,13,,916,,STAR,TITIK PASIR
0325SLG,PENDANTS,Bite,0.43,,,13,,916,,STAR,TITIK PASIR
0325SLG,PENDANTS,Bite,0.45,,,13,,916,,STAR,TITIK PASIR
0325SLG,PENDANTS,Bite,0.39,,,13,,916,,*leaf,TITIK PASIR
0325SLG,PENDANTS,Bite,0.36,,,13,,916,,*leaf,TITIK PASIR
0325SLG,PENDANTS,Bite,0.4,,,13,,916,,leaf,TITIK PASIR
0325SLG,PENDANTS,ABACUS,1,,,35,,916,,,
0325SLG,BRACELET,PAPER CLIP (H),4.4,,17.5,60,,916,,,
0325SLG,BRACELET,PAPER CLIP (H),4.36,,17.5,60,,916,,,
0325SLG,BRACELET,PAPER CLIP (H),4.35,,17.5,60,,916,,,
0325SLG,BRACELET,SOLID PAPER CLIP,17.76,,20,150,,916,,,
0325SLG,BRACELET,SOLID PAPER CLIP,17.66,,20,150,,916,,,
0325SLG,BRACELET,3 TINGKAT HOLLOW BUCKLE,13.18,,17.5,120,,916,,,
0325SLG,BRACELET,3 TINGKAT HOLLOW BUCKLE,9.36,,17.5,100,,916,,,
0325SLG,RING,3 ROW(H),1.73,18,,25,,916,,,
0325SLG,RING,3 ROW(H),1.7,16,,25,,916,,,
0325SLG,RING,3 ROW(H),1.71,15,,25,,916,,,
0325SLG,RING,3 ROW(H),1.58,14,,25,,916,,,
0325SLG,RING,3 ROW(H),1.55,12,,25,,916,,,
B0325JJT,BRACELET,ROUND PAPER CLIP,5.56,,19,83,,916,,,
B0325JJT,NECKLACE,SAUH,4.93,,48,50,,916,,,
B0325JJT,NECKLACE,SAUH,20.32,,66,200,,916,,,
B0325JJT,NECKLACE,5 MONEY (JINQIANBI),7.54,,45,138,,916,,SAUH CHAIN,
B0325JJT,NECKLACE,5 MONEY (JINQIANBI),7.64,,45,138,,916,,SAUH CHAIN,
B0325JJT,NECKLACE,5 MONEY (JINQIANBI),6.04,,45,128,,916,,SAUH CHAIN,
B0325JJT,NECKLACE,5 MONEY (JINQIANBI),6.59,,45,128,,916,,SAUH CHAIN,
B0325JJT,BRACELET,5 MONEY (JINQIANBI),4.37,,19.5,100,,916,,SAUH CHAIN,
B0325JJT,BRACELET,5 MONEY (JINQIANBI),5.64,,17.5,100,,916,,SAUH CHAIN,
B0325JJT,BRACELET,5 MONEY (JINQIANBI),5,,19,100,,916,,SAUH CHAIN,
B0325JJT,BRACELET,DIOR,3.71,,16.5,66,,916,,"STAR(A), MIXED CHAIN (PAPER CLIP & SAUH)",
B0325JJT,BRACELET,HARDWARE,7.43,,18,80,,916,,,
B0325JJT,PENDANTS,CLOVER,3.51,,,38,,916,,,
B0325JJT,PENDANTS,ABACUS,1.84,,,28,,916,,,
B0325JJT,PENDANTS,ABACUS,1.85,,,28,,916,,,
B0325JJT,PENDANTS,ABACUS,1.29,,,28,,916,,,
B0325JJT,PENDANTS,ABACUS,1.24,,,28,,916,,,
B0325JJT,PENDANTS,BITE,0.74,,,17,,916,,,
B0325JJT,PENDANTS,BITE,0.66,,,17,,916,,,
B0325JJT,RING,LOVE,2.88,14,,30,,916,,,
B0325JJT,RING,LOVE,2.97,17,,30,,916,,,
